"App name","Date","Time","Duration"
"Screen on (unlocked)","4/19/24","5:39:54 PM","0:00:00"
"Screen off","4/19/24","5:39:52 PM","0:00:01"
"Screen off (locked)","4/19/24","5:39:50 PM","0:00:02"
"Screen on (locked)","4/19/24","5:39:38 PM","0:00:12"
"Screen off (locked)","4/19/24","5:39:08 PM","0:00:30"
"Screen on (locked)","4/19/24","5:38:55 PM","0:00:13"
"Screen off (locked)","4/19/24","5:38:48 PM","0:00:07"
"Instagram","4/19/24","5:34:03 PM","0:04:45"
"Screen on (unlocked)","4/19/24","5:34:00 PM","0:00:00"
"Screen off","4/19/24","5:34:00 PM","0:00:01"
"Screen off (locked)","4/19/24","5:31:04 PM","0:02:55"
"WhatsApp","4/19/24","5:29:24 PM","0:01:41"
"Screen on (unlocked)","4/19/24","5:29:23 PM","0:00:00"
"Screen off","4/19/24","5:29:22 PM","0:00:01"
"Screen off (locked)","4/19/24","4:37:20 PM","0:52:02"
"WhatsApp","4/19/24","4:36:57 PM","0:00:23"
"Screen on (unlocked)","4/19/24","4:36:41 PM","0:00:00"
"Screen off","4/19/24","4:36:40 PM","0:00:01"
"Screen off (locked)","4/19/24","4:24:18 PM","0:12:22"
"Screen on (locked)","4/19/24","4:24:08 PM","0:00:10"
"Screen off (locked)","4/19/24","4:23:40 PM","0:00:28"
"Screen on (locked)","4/19/24","4:23:30 PM","0:00:10"
"Screen off (locked)","4/19/24","4:18:35 PM","0:04:55"
"Screen on (locked)","4/19/24","4:18:25 PM","0:00:10"
"Screen off (locked)","4/19/24","3:56:46 PM","0:21:39"
"Screen on (locked)","4/19/24","3:56:36 PM","0:00:10"
"Screen off (locked)","4/19/24","3:45:07 PM","0:11:28"
"Screen on (locked)","4/19/24","3:44:57 PM","0:00:10"
"Screen off (locked)","4/19/24","3:22:38 PM","0:22:19"
"Screen on (locked)","4/19/24","3:22:28 PM","0:00:10"
"Screen off (locked)","4/19/24","3:10:09 PM","0:12:18"
"Screen on (locked)","4/19/24","3:09:59 PM","0:00:11"
"Screen off (locked)","4/19/24","3:08:18 PM","0:01:41"
"Screen on (locked)","4/19/24","3:08:07 PM","0:00:11"
"Screen off (locked)","4/19/24","3:07:37 PM","0:00:30"
"Screen on (locked)","4/19/24","3:07:26 PM","0:00:11"
"Screen off (locked)","4/19/24","3:06:57 PM","0:00:28"
"Screen on (locked)","4/19/24","3:06:36 PM","0:00:21"
"Screen off (locked)","4/19/24","3:06:17 PM","0:00:19"
"Screen on (locked)","4/19/24","3:06:07 PM","0:00:10"
"Screen off (locked)","4/19/24","3:00:24 PM","0:05:43"
"Screen on (locked)","4/19/24","3:00:14 PM","0:00:11"
"Screen off (locked)","4/19/24","2:59:46 PM","0:00:28"
"Screen on (locked)","4/19/24","2:59:35 PM","0:00:11"
"Screen off (locked)","4/19/24","2:58:32 PM","0:01:03"
"Screen on (locked)","4/19/24","2:58:22 PM","0:00:10"
"Screen off (locked)","4/19/24","2:58:10 PM","0:00:12"
"Screen on (locked)","4/19/24","2:57:59 PM","0:00:11"
"Screen off (locked)","4/19/24","2:57:49 PM","0:00:10"
"Screen on (locked)","4/19/24","2:57:39 PM","0:00:10"
"Screen off (locked)","4/19/24","2:52:41 PM","0:04:59"
"Screen on (locked)","4/19/24","2:52:30 PM","0:00:10"
"Screen off (locked)","4/19/24","2:48:32 PM","0:03:59"
"Screen on (locked)","4/19/24","2:48:21 PM","0:00:10"
"Screen off (locked)","4/19/24","2:45:55 PM","0:02:27"
"Screen on (locked)","4/19/24","2:45:44 PM","0:00:10"
"Screen off (locked)","4/19/24","2:38:51 PM","0:06:53"
"Screen on (locked)","4/19/24","2:38:41 PM","0:00:11"
"Screen off (locked)","4/19/24","2:07:09 PM","0:31:32"
"Instagram","4/19/24","2:06:16 PM","0:00:51"
"Screen on (unlocked)","4/19/24","2:06:09 PM","0:00:00"
"Screen on (locked)","4/19/24","2:06:05 PM","0:00:05"
"Screen off (locked)","4/19/24","2:00:53 PM","0:05:12"
"Screen on (locked)","4/19/24","2:00:43 PM","0:00:10"
"Screen off (locked)","4/19/24","1:58:33 PM","0:02:10"
"Screen on (locked)","4/19/24","1:58:22 PM","0:00:11"
"Screen off (locked)","4/19/24","1:52:38 PM","0:05:43"
"Screen on (locked)","4/19/24","1:52:28 PM","0:00:11"
"Screen off (locked)","4/19/24","1:52:03 PM","0:00:25"
"Screen on (locked)","4/19/24","1:51:53 PM","0:00:10"
"Screen off (locked)","4/19/24","1:51:31 PM","0:00:22"
